WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (23.319887 42.660656, 23.32111 42.660284, 23.322677 42.659565, 23.325081 42.65942, 23.327228 42.6591, 23.327874 42.660486)",Удобни,3.0,София,ул. Люба Величкова - Ловен парк,,,
"LINESTRING (23.351994 42.701504, 23.35204 42.698971, 23.351785 42.696438, 23.35132 42.691814, 23.351805 42.686982)",Удобни,3.0,София,ул. Черковна,,,
"LINESTRING (23.344609 42.699666, 23.344818 42.699256, 23.346873 42.697821, 23.346669 42.696354)",Удобни,3.0,София,ул. Силистра,,,
"LINESTRING (23.356641 42.699939, 23.355927 42.701843, 23.359848 42.702248, 23.364258 42.703116, 23.365312 42.703567, 23.370999 42.706054)",Удобни,3.0,София,Line 9,,,
"LINESTRING (23.368289 42.71113, 23.3688416 42.7112658, 23.370424 42.706703, 23.372334 42.704606, 23.372891 42.703597, 23.373428 42.700932, 23.372779 42.700843, 23.372359 42.703172, 23.371638 42.704554, 23.370412 42.705899, 23.3696388 42.70701)",Удобни,3.0,София,Line 10,,,
"LINESTRING (23.361183 42.698681, 23.362576 42.698445, 23.362709 42.69809, 23.365048 42.6982, 23.365949 42.698366, 23.366013 42.698539, 23.367783 42.698815, 23.372429 42.698563, 23.372905 42.700394, 23.373477 42.700475, 23.372863 42.698539, 23.372429 42.698563)",Удобни,3.0,София,Line 12,,,
"LINESTRING (23.354979 42.692417, 23.352211 42.692828, 23.352115 42.692141, 23.351439 42.692268, 23.351407 42.69211, 23.351256 42.692141, 23.351321 42.692338, 23.348574 42.692662, 23.347716 42.692922, 23.346439 42.693427, 23.346632 42.693624, 23.346753 42.694064, 23.346153 42.694131, 23.346004 42.693777, 23.34564 42.69359)",Удобни,3.0,София,Line 13,,,
"LINESTRING (23.333233 42.702994, 23.333532 42.703045, 23.333519 42.703269, 23.334202 42.703394, 23.334762 42.703834, 23.338657 42.701787, 23.338562 42.698329)",Удобни,3.0,София,Line 76,,,
"LINESTRING (23.359299 42.704141, 23.362013 42.704945, 23.362786 42.704252, 23.363548 42.704126, 23.364245 42.704315, 23.365028 42.70344)",Удобни,3.0,София,Line 14,,,
"LINESTRING (23.354076 42.686206, 23.356887 42.684929, 23.361758 42.683414)",Удобни,3.0,София,ул. Гео Милев,,,
"LINESTRING (23.356631 42.657592, 23.3557835 42.657688, 23.355805 42.658076, 23.355673 42.658166, 23.352508 42.658383, 23.351881 42.659068, 23.355371 42.660378, 23.354678 42.661315, 23.357755 42.662525, 23.358414 42.662017, 23.358563 42.661803, 23.358637 42.661486, 23.358678 42.660954, 23.358364 42.660752)",Удобни,3.0,София,Line 16,,,
"LINESTRING (23.337321 42.690342, 23.337906 42.689904, 23.338249 42.689273, 23.338099 42.688721, 23.338742 42.688295, 23.339086 42.688279, 23.340073 42.68727, 23.336712 42.684679)",Удобни,3.0,София,Line 17,,,
"LINESTRING (23.345505 42.647009, 23.347113 42.646991, 23.348944 42.647538, 23.350053 42.64778, 23.350489 42.65306, 23.349437 42.653913, 23.349437 42.654293)",Удобни,3.0,София,Line 18,,,
"LINESTRING (23.353251 42.651771, 23.353858 42.655931, 23.353914 42.655989, 23.353988 42.655991, 23.356435 42.655859)",Удобни,3.0,София,Line 19,,,
"LINESTRING (23.354916 42.655942, 23.355137 42.65822)",Удобни,3.0,София,Line 20,,,
"LINESTRING (23.355371 42.660378, 23.355872 42.659615, 23.355673 42.658166)",Удобни,3.0,София,Line 21,,,
"LINESTRING (23.35719 42.675262, 23.355784 42.676275, 23.356514 42.676804, 23.355818 42.677264)",Удобни,3.0,София,Line 23,,,
"LINESTRING (23.36887 42.667727, 23.375732 42.662972, 23.376037 42.662628, 23.376172 42.66272, 23.37667 42.662445)",Удобни,3.0,София,Line 25,,,
"LINESTRING (23.353086 42.685296, 23.353868 42.684444, 23.353854 42.684403, 23.35323 42.68425, 23.353028 42.684269, 23.352852 42.684359, 23.352793 42.684302, 23.354569 42.683237, 23.355107 42.682823, 23.35588 42.681986, 23.356894 42.68089)",Удобни,3.0,София,Line 26,,,
"LINESTRING (23.35631 42.663612, 23.356247 42.663684, 23.354372 42.664219, 23.354156 42.664401, 23.353878 42.66489, 23.353833 42.665088, 23.35351 42.666367, 23.353338 42.666565, 23.352979 42.666774, 23.352604 42.66701, 23.352609 42.6672, 23.352754 42.667302, 23.353537 42.667373, 23.353274 42.668071, 23.353049 42.669192, 23.35253 42.670106, 23.352205 42.670556, 23.351963 42.670925, 23.351631 42.671296, 23.351789 42.671438, 23.351778 42.671546)",Удобни,3.0,София,Line 24,,,
"LINESTRING (23.343569 42.692318, 23.343901 42.690984, 23.351411 42.686663, 23.351805 42.686982)",Удобни,3.0,София,Line 27,,,
"LINESTRING (23.355403 42.696618, 23.35377 42.696731, 23.3538 42.696445, 23.354135 42.696411, 23.354226 42.695528, 23.354258 42.694464, 23.354162 42.693849, 23.353981 42.69385, 23.35365 42.692609)",Удобни,3.0,София,Line 28,,,
"LINESTRING (23.347575 42.697726, 23.347272 42.696334, 23.346669 42.696354, 23.346545 42.696339, 23.346523 42.696108, 23.346773 42.696075)",Удобни,3.0,София,Line 29,,,
"LINESTRING (23.33631 42.698805, 23.336169 42.696807, 23.337729 42.696728, 23.338275 42.696803, 23.345345 42.696522, 23.34539 42.696735, 23.34582 42.696893, 23.346061 42.696928, 23.346117 42.69769, 23.346514 42.697703, 23.34695 42.697688)",Удобни,3.0,София,Line 30,,,
"LINESTRING (23.332269 42.698408, 23.332237 42.698345, 23.332527 42.696429, 23.332006 42.696374, 23.331615 42.695994, 23.33095 42.696177, 23.330617 42.694797, 23.33037 42.694623, 23.328816 42.694336)",Удобни,3.0,София,Line 31,,,
"LINESTRING (23.334895 42.696806, 23.334382 42.696765, 23.332454 42.696826)",Удобни,3.0,София,Line 32,,,
"LINESTRING (23.34556 42.698734, 23.345461 42.698029, 23.338109 42.698348, 23.337996 42.696775)",Удобни,3.0,София,Line 33,,,
"LINESTRING (23.358364 42.660752, 23.358364 42.659509, 23.357533 42.65947, 23.357495 42.657864, 23.357034 42.657852, 23.356631 42.657592)",,4.0,София,Line 15,,,
"LINESTRING (23.347942 42.673844, 23.348328 42.674062, 23.348468 42.674366, 23.349713 42.675134, 23.349315 42.675429, 23.347994 42.676488, 23.346617 42.675558, 23.347172 42.675016, 23.347942 42.673844, 23.348661 42.673109, 23.34888 42.672982, 23.349475 42.672994, 23.350021 42.672702, 23.350847 42.672134, 23.351612 42.671425)",Удобни,3.0,София,Line 43,,,
"LINESTRING (23.36507 42.671313, 23.365334 42.671312, 23.37072 42.67543, 23.370727 42.675677, 23.371076 42.675966)",Удобни,3.0,София,Line 44,,,
